"Y","A","LIMIT_BAL","SEX","EDUCATION","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6"
1,1,220000,1,1,38,1,2,-1,-1,0,-1,7311,5590,1066,2404,1338,19082,0,1066,2404,0,19082,4421
1,1,80000,0,3,27,1,4,3,2,0,0,84718,82861,80581,51537,51381,48866,0,0,0,1790,1890,1740
0,0,620000,1,2,31,-2,-2,-2,-2,-2,-2,5712,11598,21049,13846,3565,7076,11881,21171,13915,3583,7111,1971
0,1,210000,1,2,37,-1,-1,-1,2,-1,0,1890,3037,2429,823,1089,1451,3037,1200,0,1089,1201,1031
0,0,240000,1,1,32,-2,-2,-2,-2,-2,-2,3162,3162,3124,3162,3162,3162,3162,3124,3200,3162,3162,3131
0,1,390000,1,1,47,1,-1,-1,-2,-1,-1,0,3760,0,0,123,0,3760,0,0,123,0,0
0,0,320000,0,1,34,-2,-2,-2,-2,-2,-2,-532,-532,-528,-1336,-1336,-1336,0,4,0,0,0,0
0,0,130000,0,2,23,-2,-2,-2,-2,-2,-2,-169,3464,7569,8130,544,148,4739,22271,8526,544,148,72392
0,0,230000,0,1,27,0,0,0,0,0,0,145959,94798,70299,40299,33112,18009,3551,3000,1284,1000,1000,1000
0,0,50000,0,2,24,1,2,0,0,0,0,48861,48082,48614,26667,26036,26850,2000,2233,1083,1100,1400,3000
1,0,20000,1,3,23,0,0,-1,0,0,0,17010,-820,19970,19580,20180,20000,0,21490,600,600,600,0
1,1,230000,1,1,47,0,0,0,0,0,0,143083,130011,83545,82638,26332,25425,6500,4579,4500,3000,1000,3000
0,0,20000,1,2,36,0,0,0,2,0,0,16419,17139,20159,19533,19928,19695,1300,3300,0,1000,1000,900
0,0,50000,0,2,38,0,-1,-1,0,0,0,4965,495,16982,17203,17577,17936,500,17000,800,800,800,900
0,1,50000,0,3,26,0,0,0,0,0,0,9935,11029,12795,9983,10884,7666,1234,2000,297,1000,307,361
1,0,150000,0,1,28,2,2,2,0,0,0,145096,147384,143225,147115,145015,110635,5000,0,6000,0,3000,23747
0,0,70000,0,2,33,0,0,0,0,0,0,66701,69907,67450,61902,19551,27831,53000,26017,40000,17000,24000,28000
0,1,150000,0,3,40,-1,-1,-1,-1,-1,-1,5916,5876,5956,5876,5496,5116,5876,5956,5876,5496,5116,5496
0,0,20000,0,2,38,1,4,3,2,0,0,21769,21139,20521,19817,14932,10812,0,0,0,448,380,345
1,1,50000,1,2,47,0,0,0,0,0,0,48308,48019,48647,26894,10875,15878,2200,2068,3048,418,12004,5001
0,0,150000,0,1,35,-1,-1,-1,0,0,-1,3299,596,978,1178,1007,2075,599,982,1007,5,2075,2669
1,1,80000,0,2,49,1,2,2,2,2,2,42053,40185,42887,31745,32211,25836,0,3500,0,4500,0,1500
0,1,210000,1,2,28,2,0,0,-1,0,0,209479,211302,-4244,205759,151849,150221,10000,2572,213509,6022,5817,4048
0,0,50000,1,2,40,0,0,0,0,0,0,50536,9853,11353,12143,11753,11922,1200,4000,2000,2000,1000,1000
0,1,70000,1,3,39,0,0,0,0,0,0,58665,55845,55362,39615,40477,43295,6852,2010,1500,1500,3500,2000
0,0,50000,1,1,26,0,0,0,0,0,0,48924,48593,49459,50160,49244,50531,2200,2200,1890,2000,2000,1800
0,0,100000,1,1,30,0,0,0,0,-2,-2,96846,98364,21255,0,0,0,5055,1049,0,0,0,0
0,0,50000,1,2,27,0,0,0,-1,-1,-2,25140,23936,11107,1210,0,0,1252,1093,1210,0,0,0
0,1,350000,1,1,32,0,0,0,0,0,0,43356,14236,16991,18541,20075,20491,2000,3000,2000,2001,580,677
0,1,380000,0,2,48,0,0,0,0,0,0,363191,373421,363343,290371,289600,288256,15504,14000,12500,12000,11000,14000
0,1,130000,0,2,24,0,0,0,0,0,0,128499,131370,123434,122806,125287,127992,5100,4500,4400,4500,4700,6400
1,1,80000,0,2,29,0,0,2,2,2,2,49196,54033,52595,56709,55201,69270,6292,0,5000,0,15000,2600
0,1,160000,0,3,45,-2,-2,-2,-2,-2,-2,2869,2357,5608,1851,2801,3268,2361,5608,1851,2801,3268,2096
0,1,210000,0,2,29,-2,-2,-2,-2,-2,-2,3814,-6,6456,0,2746,11613,0,6462,0,2746,11613,11753
0,0,140000,1,1,32,-2,-2,-2,-2,-2,-2,672,10212,850,415,100,1430,10212,850,415,100,1430,0
0,1,220000,1,2,48,-1,-1,-1,-1,-1,-1,61614,45669,11086,4564,6549,6413,45889,11134,4578,6593,6440,12249
0,1,50000,0,2,43,0,0,0,0,-2,-2,17870,9230,10000,0,0,0,1500,1000,0,0,0,0
1,0,30000,0,2,27,2,2,2,2,4,3,25557,26648,27536,28203,29048,29903,1800,1600,1400,1600,1600,1600
0,0,220000,1,1,35,1,2,0,0,2,2,190105,185836,187220,199542,202036,200956,0,6600,15200,7000,2000,15000
0,0,80000,1,1,46,0,0,0,0,0,0,78861,77719,45961,29537,29758,30153,2435,1463,1039,1068,1267,1000
0,1,130000,1,2,39,3,2,-1,-1,-1,0,130819,124946,10212,2486,5170,6823,0,10252,2486,5170,3039,2386
1,0,200000,1,2,32,2,0,0,0,-2,-2,160106,162743,81890,0,0,0,7600,4000,0,0,0,0
0,0,50000,0,2,30,0,0,0,0,0,0,49129,49102,49049,41876,29158,29493,1833,1804,1494,1031,1062,1092
0,1,20000,1,3,45,1,-1,-1,-1,-1,-2,0,390,0,780,0,0,780,0,780,0,0,0
0,0,60000,1,2,29,0,0,0,0,0,0,58634,59541,58604,59427,38472,39528,3000,31404,3000,2000,2000,2000
0,0,350000,0,1,36,-1,-1,-1,-1,0,0,28489,28934,20558,29866,37587,15307,28950,20565,29880,27697,5330,31990
0,1,150000,0,1,40,-1,-1,-1,-2,-1,-1,800,2400,0,0,1000,0,2400,0,0,1000,0,0
0,1,230000,0,1,36,0,0,0,0,0,0,111691,117858,121697,119772,115730,111222,8000,6000,5000,5000,5000,5000
1,1,100000,0,2,37,-1,-1,-1,-1,-2,-2,390,0,780,0,0,0,0,780,0,0,0,0
0,0,250000,0,1,40,-1,-1,-1,-1,-1,-1,3264,2395,2986,24971,500,2162,2395,2991,25185,500,2162,0
1,1,80000,0,3,48,0,0,0,0,0,0,44508,43709,52660,48532,44469,45068,1785,10000,1541,1610,1604,1485
0,0,280000,1,1,34,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
1,1,120000,1,3,36,-1,0,0,0,0,0,31218,32319,32687,32972,33559,34604,2000,1600,1200,1500,2000,1500
0,0,150000,0,2,37,-1,-1,-1,-1,-1,-1,2897,2486,-4,1494,-6,8047,2489,0,1498,0,8053,0
0,1,360000,0,2,39,0,0,-2,-1,0,0,366965,-17710,-17706,301085,307035,63451,12709,1393,319494,13079,2438,2599
0,1,160000,1,1,36,-1,-1,-1,-1,-1,-1,816,316,316,316,316,316,316,316,316,316,316,316
0,1,70000,0,2,36,-1,2,2,2,2,2,1156,2254,2044,4152,3023,4014,2044,0,4000,0,2000,0
0,1,200000,0,2,36,0,0,0,0,0,0,193083,195259,196120,168814,163509,172037,9000,8993,7503,6000,11300,6103
0,1,220000,0,1,36,0,0,0,0,0,0,215979,210475,216513,196219,200117,204312,7800,9639,7123,7162,7419,7462
0,1,20000,1,2,40,0,0,0,0,0,0,10288,9276,5622,19263,18433,26132,3010,2010,15000,4000,2000,2000
1,0,50000,1,1,25,0,0,0,0,0,-1,15639,10504,11824,13018,12303,18584,1200,1500,1500,281,18584,1000
0,1,50000,0,2,27,0,0,0,0,0,0,48492,48356,32904,28864,29708,29921,1600,1715,2000,3010,2000,1100
1,1,120000,0,3,43,0,0,0,0,0,0,116032,114987,117491,118513,75278,77070,4201,5001,4134,2700,3000,5030
0,0,30000,0,3,45,0,0,0,0,-1,-1,28611,23312,19590,18447,15525,0,1352,1290,4150,15525,0,0
0,1,180000,0,5,44,0,0,-1,-1,-1,-1,20916,0,850,0,6881,10340,0,850,0,6881,10340,182
1,0,30000,1,2,35,1,-1,-1,2,0,0,0,26232,29093,28319,29064,28658,26232,3300,0,1200,1100,1500
1,1,70000,0,3,53,2,2,2,2,2,2,54251,55402,53925,56814,58053,59246,2600,0,4400,2300,2300,2100
0,0,230000,0,2,41,-2,-2,-2,-2,-2,-2,24477,23722,4791,3516,7475,5352,23722,4791,3516,7475,5352,2120
0,1,70000,0,2,40,0,0,0,0,0,0,43045,44088,45102,45861,47951,49252,2036,2050,1809,3000,2251,1627
0,0,130000,0,1,38,0,0,0,-2,-2,-2,64942,66775,0,0,0,0,4000,0,0,0,0,0
1,1,210000,0,1,46,0,0,0,0,0,0,112901,110089,108775,107090,104037,101337,4910,3939,3792,3657,3631,3500
0,0,50000,1,3,39,-1,-1,-1,0,0,0,238,-152,48257,48455,48195,48828,0,48799,1773,1711,1785,1745
1,0,50000,1,2,41,0,0,0,-2,-2,-1,48729,19598,0,0,0,402,1000,402,0,0,402,19603
1,1,220000,1,1,37,2,2,0,0,0,0,185955,181587,186054,188465,192758,196493,0,9000,7000,7500,7100,7500
0,0,350000,0,1,36,-1,-1,-1,2,-1,-1,326,326,652,326,3817,2802,326,652,0,3817,2802,0
0,0,30000,1,2,27,0,0,0,-2,-2,-2,7956,10529,28870,29391,29724,30400,5000,28872,1500,1000,1078,1000
0,1,160000,1,3,26,0,0,0,0,0,0,58929,60950,61292,16623,33393,34220,3000,2000,15000,33000,3000,1100
0,0,160000,1,1,40,1,-1,-1,-1,-1,-1,0,567,4027,3100,2123,4899,567,4059,3100,2123,4899,3165
0,0,20000,1,2,30,1,-2,-2,-2,-2,-2,-300,-690,-1080,-1470,-1860,-2250,0,0,0,0,0,4000
0,0,80000,0,2,23,0,0,-1,0,0,0,80715,82687,80613,80671,72785,74313,5000,81000,2776,2600,2696,2812
1,0,50000,0,2,26,0,0,-2,-2,-2,-2,4136,0,0,0,0,0,0,0,0,0,0,0
1,1,80000,0,2,26,0,0,0,2,0,0,77037,71799,75743,67626,69081,70772,3300,5800,0,2700,3000,2700
0,0,30000,1,2,28,0,0,0,0,0,0,25198,25988,27107,27450,29193,27372,1500,1600,1000,2100,1400,500
0,0,200000,0,1,40,-1,-1,-1,0,0,-1,5853,6549,9389,18475,1016,4934,6567,9421,14068,3,4948,7770
0,1,200000,0,1,25,0,0,0,-1,0,0,11740,7221,1341,25068,52486,45047,2012,1025,32994,37042,2004,2502
1,1,30000,0,1,47,0,0,0,2,2,2,24895,26476,28047,29767,30498,29890,2000,2000,2500,1500,0,1200
1,0,10000,0,1,24,2,0,0,2,2,2,6524,7559,9564,9264,9862,10050,1300,2300,0,900,500,0
0,1,80000,1,3,62,-1,-1,-1,-1,-1,-1,1262,1642,1975,672,5112,3932,1642,1975,672,5112,3932,20289
0,0,30000,1,1,24,0,0,0,0,0,0,28495,29632,30629,29357,30143,30419,1900,1800,1045,1250,1100,1100
0,1,500000,1,2,33,0,0,0,0,0,0,134503,114682,124240,131006,137911,119343,20031,20029,20058,20127,10000,10027
1,0,80000,1,1,33,2,2,2,2,2,2,67206,65537,69361,67647,72524,74068,0,5500,0,6000,3000,0
0,1,200000,1,2,55,0,0,0,0,0,2,184505,182475,180103,180647,76236,71415,8000,7512,8034,5600,0,2700
0,0,120000,0,2,31,0,0,0,0,2,2,46736,75853,79570,106523,108614,107519,30000,5000,30000,3900,4000,3800
0,0,200000,0,2,27,-1,-1,-1,0,-1,-1,13285,2150,14122,27413,35377,29922,2155,14122,23007,7212,29922,37790
1,1,230000,1,1,61,-1,-1,-1,-1,-1,-1,1477,3699,2252,4932,2783,7411,3710,2266,7338,2791,7433,4527
0,0,200000,0,1,35,-1,0,0,0,0,0,9918,10971,11817,17865,18239,14527,1219,1165,7865,592,807,679
0,1,290000,0,1,31,-1,-1,-1,-1,-1,-1,21720,1240,3682,4694,5258,1248,1240,3682,4704,5258,1248,9600
0,1,200000,0,3,53,0,0,0,2,0,0,88895,79074,47318,21594,19067,13814,2600,3224,0,8000,8000,8000
1,0,50000,0,1,27,2,3,2,2,2,2,12250,11761,12476,11979,12880,12531,0,1200,0,1100,0,1200
0,0,160000,0,2,33,0,0,0,0,0,0,140225,140745,139923,140815,139935,138912,5211,5000,5000,5000,5000,6000
0,0,50000,1,2,28,0,0,0,0,2,0,28864,30090,31282,33350,32682,33385,2000,2000,2900,0,1400,1600
0,0,80000,0,5,27,0,0,0,0,0,0,81787,77845,60159,54151,45108,44490,2600,3009,2200,2000,2000,2832
1,1,200000,1,1,49,-1,-1,-1,-1,-1,-1,390,390,390,390,390,390,390,390,390,390,390,390
0,0,270000,0,2,27,1,2,0,0,0,0,253072,247521,253024,258109,243331,247504,0,11000,11000,8900,9000,9200
1,1,110000,1,1,29,0,0,0,0,0,0,47982,43735,41840,40199,39612,27926,1809,2012,1504,1502,1514,1007
0,1,500000,1,2,31,0,0,-1,0,0,0,29566,25560,294257,278725,89161,87863,6025,294318,10254,7524,5009,2333
1,0,30000,1,2,29,6,5,4,3,2,0,32875,32101,31071,30136,28496,29675,0,0,0,0,1642,0
0,0,160000,0,2,27,0,0,0,0,0,0,100613,78592,80240,39835,41150,0,3600,3700,1700,2000,0,0
0,1,200000,1,1,45,-2,-2,-2,-2,-2,-2,3659,1710,5033,1125,1088,4469,1718,5069,1130,1093,4491,0
0,0,300000,0,1,34,2,0,0,2,0,0,74917,70878,68463,52987,46867,16335,3028,4560,78,3171,5015,5047
0,1,130000,1,5,46,2,0,0,0,0,0,79705,59716,38343,37834,37429,36991,2475,1600,1300,1400,1400,2000
0,0,20000,1,2,28,0,0,0,0,0,0,11449,12811,11779,12379,12879,14879,1582,1400,1000,500,2000,500
0,0,200000,0,2,25,0,0,2,0,0,0,175435,195581,190716,132731,129960,66747,24720,0,6000,40450,13000,5000
1,1,210000,0,2,43,0,0,0,0,0,0,209781,180962,181870,159975,138349,112371,6500,6601,5085,4087,4220,27704
1,0,70000,1,2,28,1,2,2,2,2,2,26357,27223,27492,28738,27977,30022,1600,1000,2000,0,2500,0
1,1,50000,0,3,40,0,0,0,0,0,0,19824,29311,30862,26614,15571,14971,15000,10000,5000,1500,800,2000
0,0,80000,1,2,26,-2,-2,-2,-2,-2,-2,2970,-10,-10,-10,16587,0,0,0,0,16597,0,0
1,1,80000,0,1,24,0,0,0,0,0,0,47952,45713,46752,46375,46893,47872,1732,1771,1714,1632,1687,1749
1,1,170000,0,1,30,1,-2,-1,-1,-2,-2,0,0,550,0,0,0,0,550,0,0,0,0
1,1,180000,1,3,44,0,0,0,0,0,0,172064,175287,119687,131725,134122,133961,8000,5018,21000,6000,6000,6000
0,0,90000,1,2,26,-1,2,-1,0,0,0,481,1149,39674,38968,39853,8064,1000,39674,1200,1217,1025,500
0,1,50000,0,3,52,0,0,0,0,0,0,47670,48447,49493,48497,18930,19329,1954,2000,20567,1000,664,1000
1,1,50000,1,2,48,2,2,2,2,2,0,42850,42850,45741,45694,45645,46457,1000,3900,1000,1000,1700,4500
1,1,280000,0,1,35,2,-1,0,0,0,0,47,97767,99036,96383,86060,62312,99007,5000,3027,6025,2001,1903
0,0,420000,1,1,34,-1,0,0,0,-2,-2,18037,9944,3254,-16,-16,-16,3048,3016,0,0,0,3262
0,1,30000,0,3,25,0,0,0,0,0,0,25366,27626,22034,16312,14614,0,5000,1000,326,292,0,0
0,0,20000,1,2,26,2,0,0,0,2,2,6078,7015,8036,9597,9294,10242,1200,1140,1700,0,1100,0
1,1,170000,1,2,34,1,2,2,2,2,0,91450,90486,86004,64363,55912,54500,3400,0,3957,0,2200,1300
0,0,50000,1,2,29,0,0,0,0,0,0,51232,50732,50962,49908,32361,21138,1900,2300,1500,1500,900,900
1,1,50000,0,2,47,0,0,0,0,2,2,47500,46937,44681,47537,46644,49765,2700,2000,3600,0,3890,0
1,0,50000,1,2,29,0,0,0,-2,-2,-2,1972,2524,0,0,0,0,2500,0,0,0,0,0
1,1,200000,0,1,42,-1,-1,2,-1,-1,-1,796,770,770,5259,1329,3609,770,0,5269,1329,2280,0
0,0,150000,0,1,25,-1,0,-1,-1,-1,-2,18836,5312,740,10,0,0,2000,740,1410,0,0,0
0,1,440000,0,1,54,0,0,0,0,0,0,293717,254498,169622,169140,152404,138447,9700,6323,5700,4800,4000,4500
0,0,20000,0,2,25,0,0,0,0,0,3,8011,9041,10903,11622,13280,12778,1320,2181,900,2000,0,0
0,0,20000,0,2,21,0,0,0,2,0,0,14326,15334,18206,17482,34862,14860,1252,3124,0,349,297,0
0,0,60000,1,3,30,0,0,0,0,0,0,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0
1,1,20000,1,2,34,0,0,2,0,0,0,17650,18740,18373,18768,19315,20836,2500,1000,1000,1000,2000,0
0,0,390000,1,1,37,-2,-2,-2,-2,-2,-2,73,10925,0,0,0,0,10952,0,0,0,0,0
